scenario_id,run_id,step,t,vehicle_id,vehicle_type,compliance_state,x_global,y,v,a,physical_lane,road_role,primary_leader_id,lane_change_state,merge_state,active_event_tags
MVS-E2E-1,pre_p15,0,0.0,MV_DEMO,cav,not_applicable,6832.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,0,0.0,CLV_DEMO,chv,compliant,6872.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,0,0.0,CFV_DEMO,chv,compliant,6801.994938016529,0.0,19.949380165289256,-0.506198347107438,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,0,0.0,BG_LANE1_DEMO,cav,not_applicable,6842.04,3.5,20.4,4.0,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,1,0.1,MV_DEMO,cav,not_applicable,6834.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,1,0.1,CLV_DEMO,chv,compliant,6874.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,1,0.1,CFV_DEMO,chv,compliant,6803.985040092989,0.0,19.901020764596467,-0.4835940069278955,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,1,0.1,BG_LANE1_DEMO,cav,not_applicable,6844.1184,3.5,20.784,3.8400000000000007,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,2,0.2,MV_DEMO,cav,not_applicable,6836.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,2,0.2,CLV_DEMO,chv,compliant,6876.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,2,0.2,CFV_DEMO,chv,compliant,6805.970520736899,0.0,19.854806439097732,-0.46214325498734243,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,2,0.2,BG_LANE1_DEMO,cav,not_applicable,6846.233664,3.5,21.152639999999998,3.686400000000001,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,3,0.30000000000000004,MV_DEMO,cav,not_applicable,6838.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,3,0.30000000000000004,CLV_DEMO,chv,compliant,6878.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,3,0.30000000000000004,CFV_DEMO,chv,compliant,6807.951583661646,0.0,19.81062924746953,-0.44177191628201284,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,3,0.30000000000000004,BG_LANE1_DEMO,cav,not_applicable,6848.38431744,3.5,21.5065344,3.5389440000000008,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,4,0.4,MV_DEMO,cav,not_applicable,6840.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,4,0.4,CLV_DEMO,chv,compliant,6880.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,4,0.4,CFV_DEMO,chv,compliant,6809.928422468264,0.0,19.768388066183412,-0.422411812861201,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,4,0.4,BG_LANE1_DEMO,cav,not_applicable,6850.5689447424,3.5,21.846273024,3.3973862400000003,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,5,0.5,MV_DEMO,cav,not_applicable,6842.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,5,0.5,CLV_DEMO,chv,compliant,6882.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,5,0.5,CFV_DEMO,chv,compliant,6811.901221273123,0.0,19.727988048589324,-0.4040001759408689,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,5,0.5,BG_LANE1_DEMO,cav,not_applicable,6852.786186952704,3.5,22.17242210304,3.261490790400001,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,6,0.6,MV_DEMO,cav,not_applicable,6844.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,6,0.6,CLV_DEMO,chv,compliant,6884.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,6,0.6,CFV_DEMO,chv,compliant,6813.870155286728,0.0,19.68934013604653,-0.3864791254279687,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,6,0.6,BG_LANE1_DEMO,cav,not_applicable,6855.034739474596,3.5,22.485525218918397,3.1310311587840007,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,7,0.7,MV_DEMO,cav,not_applicable,6846.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,7,0.7,CLV_DEMO,chv,compliant,6886.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,7,0.7,CFV_DEMO,chv,compliant,6815.835391348252,0.0,19.65236061524178,-0.36979520804747723,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,7,0.7,BG_LANE1_DEMO,cav,not_applicable,6857.313349895612,3.5,22.78610421016166,3.0057899124326415,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,8,0.7999999999999999,MV_DEMO,cav,not_applicable,6848.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,8,0.7999999999999999,CLV_DEMO,chv,compliant,6888.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,8,0.7999999999999999,CFV_DEMO,chv,compliant,6817.797088419911,0.0,19.616970716586692,-0.3538989865508802,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,8,0.7999999999999999,BG_LANE1_DEMO,cav,not_applicable,6859.620815899788,3.5,23.074660041755195,2.885558315935336,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,9,0.8999999999999999,MV_DEMO,cav,not_applicable,6850.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,9,0.8999999999999999,CLV_DEMO,chv,compliant,6890.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,9,0.8999999999999999,CFV_DEMO,chv,compliant,6819.755398044835,0.0,19.583096249230216,-0.3387446735647659,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,9,0.8999999999999999,BG_LANE1_DEMO,cav,not_applicable,6861.955983263796,3.5,23.351673640084986,2.7701359832979224,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,10,0.9999999999999999,MV_DEMO,cav,not_applicable,6852.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,10,0.9999999999999999,CLV_DEMO,chv,compliant,6892.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,10,0.9999999999999999,CFV_DEMO,chv,compliant,6821.710464771712,0.0,19.550667268775523,-0.3242898045469229,lane_2,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,10,0.9999999999999999,BG_LANE1_DEMO,cav,not_applicable,6864.317743933244,3.5,23.617606694481587,2.6593305439660058,lane_1,mainline,,normal,none,commit
MVS-E2E-1,pre_p15,11,1.0999999999999999,MV_DEMO,cav,not_applicable,6854.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-E2E-1,pre_p15,11,1.0999999999999999,CLV_DEMO,chv,compliant,6894.0,0.0,20.0,0.0,lane_2,mainline,,normal,none,commit
